,name,gradyear
0,Yagiz Aksoy,2011
1,"Alimadadi, Saba",2017
2,Ouldooz Baghban Karimi,
3,Bradley Bart,1996
4,Andrei Bulatov,1991
5,Sheelagh Carpendale,1992
6,Angel Chang,2015
7,Victor Cheung,2004
8,"Cukierman, Diana",1989
9,Toby Donaldson,1992
10,Martin Ester,1984
11,"Fraser, Brian",2002
12,Uwe Glässer,1987
13,Ghassan Hamarneh,1995
14,Hazra Imran,2003
15,Lawrence Kim,2013
16,Anne Lavergne,1991
17,Maxwell Libbrecht,2011
18,Jiangchuan Liu,1999
19,Ali Mahdavi-Amiri,
20,David G. Mitchell,1989
21,Jian Pei,1991
22,"Popowich, Fred",1982
23,Anoop Sarkar,1991
24,Oliver Schulte,1992
25,Igor Shinkar,2014
26,"Khangura, Harinder Singh",1997
27,Andrea Tagliasacchi,2005
28,Sharan Vaswani,2012
29,Jiannan Wang,2008
30,Tao Wang,2015
31,Yuepeng Wang,2014
32,"Xie, Cynthia",
33,Kangkang Yin,1997
34,Matt Amy,2011
35,Greg Baker,1998
36,Steven Bergner,2003
37,"Cameron, Robert D. ",1977
38,Bobby Chan,2005
39,Mo Chen,2011
40,Parmit Chilana,2005
41,Ryan C.N. D'Arcy,1996
42,Edgar John,1984
43,Eugene Fiume,1981
44,Yasutaka Furukawa,2001
45,"Gu, Qianping Gu",1982
46,Mohamed Hefeeda,1994
47,Valentine Kabanets,1993
48,Steven Ko,1999
49,Ke Li,2014
50,Angelica Lim,2008
51,Hang Ma,2012
52,Anders Miltner,2013
53,Steven Pearce,1981
54,Jason Peng,2015
55,Janice Regan,1979
56,Manolis Savva,2009
57,Thomas C. Shermer,1984
58,Arrvindh Shriraman,2004
59,William N. Sumner,2005
60,Eugenia Ternovska,2002
61,Keval Vora,2017
62,Ke Wang,1984
63,Tianzheng Wang,2017
64,Kay C. Wiese,1991
65,Richard (Hao) Zhang,1995
