folioID,conveyanceDate,conveyancePrice,conveyanceType,conveyanceTypeDescription,postalCode,area,jurisdiction,roll_number,MB_manual_class,blank1,blank2,MB_year_built,MB_effective_year,MB_total_finished_area,MB_num_storeys,num_full_baths,num_3-piece_baths,num_2-piece_baths,num_bedrooms,num_dens,blank3,type_of_foundation,num_multi_garage,num_single_garage,num_carport,lc_code_1, lc_code_2,lc_code_3,lc_code_4,lc_code_5,lc_code_6,pool_flag,other_building_flag,land_metric_flag,land_width,land_depth,land_sq_measure,land_area,blank4,inc_unit_of_measure_value,inc_unit_of_measure_code,blank5,inc_floor_num,inc_effective_year,plumbing_nil_flag,basement_finish_area,basement_total_area,deck_sq_footage,deck_sq_footage_covered,blank6,fireplace_num_1,blank7,fireplace_num_2,blank8,fireplace_num_3,blank9,fireplace_num_4,blank10,fireplace_num_5,first_floor_area,second_floor_area,third_floor_area,school_district,zoning
A0000PYTHX,2022-01-31,1000,8,Vacant Single Property Transaction,V0C 2C0,27,561,203240,,,,,,,,,,,,,,,0,0,0,,,,,,,,, ,90,90,8731.544,0.2,,,,,,,,,,,,,,,,,,,,,,,,,59,R1
A0000F88KH,2022-01-12,100000,8,Vacant Single Property Transaction,V2V 4J1,15,775,2221050,,,,,,,,,,,,,,,0,0,0,33,,,,,,,, ,,,,0.385,,,,,,,,,,,,,,,,,,,,,,,,,75,A2/R2
D0000TSC16,2022-01-31,100000,7,Improved Single Property Transaction,V0J 2B0,26,757,40547005,41,,,1967,1967,1360,1.5,1,,,3,,,Crawl,1,0,0,41,,,,,,,X, ,,,,30.888,,,,,,,,,,,,,,,,,,,,,,1040,,,57,RU1
D0000CZXSJ,2022-02-28,1000000,7,Improved Single Property Transaction,V8W 0B8,1,234,1017146,B705,,,2010,2010,1312,,2,,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,1312,STRLA,,6,2010,,,,219,,,,,,,,,,,,,,,61,
A0000HQC0A,2022-03-01,1000000,7,Improved Single Property Transaction,V9B 4P5,1,327,5725010,90,,,1950,1970,1972,1,1,,,4,,,Basement,0,0,0,23,,,,,,,, ,,,,0.18,,,,,,,,934,1038,,140,,1,,,,,,,,,1038,,,62,R2
A0000HQCK8,2022-01-04,1000000,7,Improved Single Property Transaction,V9B 4W5,1,327,5990158,140,,,1975,1990,1912,1,1,,2,3,,,Basement,0,1,0,23,,,,,,,, ,,,,0.19,,,,,,,,764,849,120,,,2,,,,,,,,,1148,,,62,R2
D0001CEJCN,2022-01-27,1000000,7,Improved Single Property Transaction,V9C 0K4,1,327,13875201,147,,,2018,2018,1612,2,1,1,1,3,,,Crawl,1,0,0,,,,,,,,, ,,,5007,0.115,,,,,,,,,,,120,,1,,,,,,,,,784,828,,62,CD15
D0001P5E5U,2022-01-28,1000000,7,Improved Single Property Transaction,V9B 0V2,1,327,14522060,147,,,2018,2018,2213,2,2,1,,4,,,Basement,0,1,0,,,,,,,,, ,,,,0.072,,,,,,,,655,728,440,43,,1,,,,,,,,,1003,555,,62,CD3
A0000HQJT7,2022-03-01,1000000,7,Improved Single Property Transaction,V9B 6T1,1,327,85558120,C701,,,2005,2005,2009,,2,,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1172,STRLA,,1,2005,,837,837,318,,,,,,,,,,,,,,,62,
A0000HRAC9,2022-01-31,1000000,7,Improved Single Property Transaction,V8K 2K7,1,764,700000,90,,,1956,1956,921,1,1,,,2,,,Basement,1,0,0,40,,,,,,,X, ,,,,0.78,,,,,,,,,921,,,,1,,,,,,,,,921,,,64,
A0000HREKH,2022-02-01,1000000,7,Improved Single Property Transaction,V0N 2J2,1,764,5142012,140,,,1977,1977,1869,1,1,1,,2,,,Partial Basement,0,1,0,,,,,,,,, ,110,,,0.35,,,,,,,,448,592,456,300,,1,,,,,,,,,1421,,,64,SR
A0000D62FQ,2022-02-04,1000000,7,Improved Single Property Transaction,V0R 1N1,4,765,526115,140,,,1966,1966,2197,1,1,1,,3,,,Basement,0,1,0,30,40,97,,,,,, ,,,,7.83,,,,,,,,840,1357,360,,,1,,,,,,,,,1357,,,79,R3
