,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,BLOCK,PLAN,DISTRICT_LOT,LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_IMPROVEMENT_VALUE,PREVIOUS_LAND_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
89337,019-179-961,STRATA,156602080017,15660208,DD,Comprehensive Development,,LMS1863,541,17,217,838.0,HAMILTON ST,V6B 6A2,84 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 354/1274,LOT 17  PLAN LMS1863  DISTRICT LOT,,,44200.0,98300.0,2021.0,97200.0,76900.0,1995.0,1995.0,,29,2021
57965,005-479-827,STRATA,267830020009,26783002,CD-1 (156),Comprehensive Development,,VAS1774,329,9,,2307.0,RIVERWOOD WAY,V5P 4V8,3 SHARE IN COM PROP THEREIN.,29  NEW WESTMINSTER UNDIV 1429/5329,LOT 9  PLAN VAS1774  DISTRICT LOT 3,,,613000.0,188000.0,2021.0,194000.0,569000.0,1986.0,1986.0,,25,2021
213879,023-825-723,STRATA,646163960007,64616396,C-3A,Commercial,,LMS2876,526,7,,608.0,7TH AVE W,V5Z 1B5,3 SHARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 1142/5042,LOT 7  PLAN LMS2876  DISTRICT LOT 5,,,854000.0,192000.0,2021.0,198000.0,783000.0,1997.0,1997.0,,7,2021
27441,013-309-633,LAND,728195040000,72819504,RS-1,One Family Dwelling,10,VAP2941,634,A,,304.0,32ND AVE E,V5V 2Y4,TO BLOCK 12.,"RICT LOT 634  NWD OF LOTS 19 & 29,",LOT A  BLOCK 10  PLAN VAP2941  DIST,,,1553000.0,49100.0,2021.0,51100.0,1302000.0,1910.0,1975.0,,16,2021
138252,028-048-181,STRATA,638171080010,63817108,CD-1 (460),Comprehensive Development,,BCS3602,302,10,110,388.0,1ST AVE W,V5Y 0B2,INTEREST IN THE COMMON PROPERTY IN,"302  NWD GROUP 1, TOGETHER WITH AN",LOT 10  PLAN BCS3602  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,474000.0,185000.0,2021.0,183000.0,478000.0,2009.0,2009.0,,13,2021
86948,027-304-027,STRATA,161599060213,16159906,CD-1 (415),Comprehensive Development,,BCS2611,FC,213,3207,602.0,CITADEL PARADE,V6B 1X2,AN INTEREST IN THE COMMON PROPERTY,FC  NEW WESTMINSTER TOGETHER WITH,LOT 213  PLAN BCS2611  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,545000.0,164000.0,2021.0,162000.0,521000.0,2007.0,2007.0,,26,2021
131062,006-871-372,LAND,270698060000,27069806,RS-1,One Family Dwelling,L,VAP11660,THSL,1,,3706.0,NANAIMO ST,V5N 5H3,MINSTER,P11660  DISTRICT LOT THSL  NEW WEST,LOT 1  BLOCK L  SECTION 45  PLAN VA,,,1102000.0,284000.0,2021.0,291000.0,1041000.0,1994.0,1997.0,,22,2021
120189,018-338-500,STRATA,831241350001,83124135,RS-1B,One Family Dwelling,,LMS957,328,1,,1781.0,ISLAND AVE,V5P 2S5,PROP THEREIN TOGETHER WITH AN INTE,8  NWD UNDIV 1894/3227 SHARE IN COM,LOT 1  PLAN LMS957  DISTRICT LOT 32,REST IN THE COMMON PROPERTY IN PROP,ORTION TO THE UNIT ENTITLEMENT OF T,891000.0,202000.0,2021.0,211000.0,794000.0,1993.0,1993.0,,25,2021
146850,009-250-662,LAND,683170260000,68317026,RT-6,Two Family Dwelling,C,VAP1530,526,3,,456.0,13TH AVE W,V5Y 1W5,,ICT LOT 526  NEW WESTMINSTER,LOT 3  BLOCK C  PLAN VAP1530  DISTR,,,1800000.0,288000.0,2021.0,270000.0,1744000.0,1912.0,1975.0,,13,2021
96353,023-773-481,STRATA,631090640018,63109064,RM-4,Multiple Family Dwelling,,LMS2827,526,18,402,2036.0,YORK AVE,V6J 1E6,SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 47/1283,LOT 18  PLAN LMS2827  DISTRICT LOT,,,398000.0,88800.0,2021.0,88500.0,385000.0,1997.0,1997.0,,2,2021
29420,013-012-801,LAND,700273240000,70027324,RS-1,One Family Dwelling,1,VAP2295,THSL,20,,2528.0,22ND AVE E,V5M 2X5,ION 46 N W QTR.,RICT LOT THSL  NEW WESTMINSTER SECT,LOT 20  BLOCK 1  PLAN VAP2295  DIST,,,1196000.0,301000.0,2021.0,300000.0,1089000.0,2002.0,2002.0,,22,2021
5546,018-754-805,STRATA,612234040001,61223404,RM-4,Multiple Family Dwelling,,LMS1400,264A,1,101,1510.0,GRANT ST,V5L 2Y2,0 FOR SHARE IN COM PROP THEREIN.,64A  NEW WESTMINSTER UNDIV 389/1000,LOT 1  PLAN LMS1400  DISTRICT LOT 2,,,287000.0,114000.0,2021.0,115000.0,288000.0,1993.0,1993.0,,14,2021
7977,026-229-099,STRATA,720315930035,72031593,CD-1 (314),Comprehensive Development,,BCS1208,36,35,309,3663.0,CROWLEY DR,V5R 6H4,,36  NEW WESTMINSTER GROUP 1.,LOT 35  PLAN BCS1208  DISTRICT LOT,,,393000.0,199000.0,2021.0,197000.0,352000.0,2005.0,2005.0,,23,2021
92393,019-194-765,STRATA,590271460065,59027146,C-2C,Commercial,,LMS1880,THSL,65,313,2556.0,HASTINGS ST E,V5K 1Z3,IN THE COMMON PROPERTY IN PROPORTI,THSL  NWD TOGETHER WITH AN INTEREST,LOT 65  PLAN LMS1880  DISTRICT LOT,ON TO THE UNIT ENTITLEMENT OF THE S,TRATA LOT AS SHOWN ON FORM 1.,515000.0,122100.0,2021.0,125800.0,490000.0,1948.0,1980.0,,20,2021
35675,006-537-537,LAND,696056300000,69605630,RS-1,One Family Dwelling,L,VAP8599,139,B,,3138.0,20TH AVE W,V6L 1H8,,ICT LOT 139  NWD OF LOTS 1 TO 5.,LOT B  BLOCK L  PLAN VAP8599  DISTR,,,2529000.0,35100.0,2021.0,38000.0,2311000.0,1952.0,1952.0,,4,2021
211138,013-313-151,LAND,674022360000,67402236,RS-1,One Family Dwelling,153,VAP2938,540,7,,4564.0,11TH AVE W,V6R 2M4,,TRICT LOT 540  NWD OF LOT 4.,LOT 7  BLOCK 153  PLAN VAP2938  DIS,,,2196000.0,48700.0,2021.0,49300.0,2018000.0,1915.0,1961.0,,1,2021
50507,014-774-011,LAND,707163950000,70716395,RS-5,One Family Dwelling,639,VAP1389,472,A,,609.0,24TH AVE W,V5Z 2B7,6307L) OF LOTS 11 & 12.,"TRICT LOT 472  NWD GROUP 1, (SEE 47",LOT A  BLOCK 639  PLAN VAP1389  DIS,,,2689000.0,37100.0,2021.0,42200.0,2521000.0,1936.0,1965.0,,9,2021
105684,004-064-399,LAND,665214160000,66521416,RT-5,Two Family Dwelling,158,VAP442,264A,22,,916.0,11TH AVE E,V5T 2E9,1771.,"TRICT LOT 264A  NWD OF LOT C, & PL",LOT 22  BLOCK 158  PLAN VAP442  DIS,,,1540000.0,102000.0,2021.0,88800.0,1390000.0,1914.0,1970.0,,13,2021
83553,024-774-448,STRATA,124606980185,12460698,DD,Comprehensive Development,,LMS4157,541,185,2603,1068.0,HORNBY ST,V6Z 2Y7,6 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 51/1441,LOT 185  PLAN LMS4157  DISTRICT LOT,,,415000.0,198000.0,2021.0,194000.0,397000.0,2000.0,2000.0,,29,2021
34272,028-887-140,STRATA,638172040152,63817204,CD-1 (483),Comprehensive Development,,EPS800,302,152,1602,288.0,1ST AVE W,V5Y 0E9,INTEREST IN THE COMMON PROPERTY IN,"302  NWD GROUP 1, TOGETHER WITH AN",LOT 152  PLAN EPS800  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,1419000.0,429000.0,2021.0,420000.0,1362000.0,2012.0,2012.0,,13,2021
45415,027-244-831,STRATA,603186050115,60318605,CD-1 (432),Comprehensive Development,,BCS2563,2037,115,1302,125.0,MILROSS AVE,V6A 0A1,,2037  NEW WESTMINSTER GROUP 1.,LOT 115  PLAN BCS2563  DISTRICT LOT,,,517000.0,237000.0,2021.0,233000.0,462000.0,2007.0,2007.0,,30,2021
14937,012-569-178,LAND,737054920000,73705492,RS-5,One Family Dwelling,31,VAP3591,2027,25,,3008.0,36TH AVE W,V6N 2R5,,TRICT LOT 2027  NWD GROUP 1.,LOT 25  BLOCK 31  PLAN VAP3591  DIS,,,2692000.0,125000.0,2021.0,131000.0,2445000.0,1931.0,1973.0,,5,2021
73892,025-532-774,STRATA,600115960171,60011596,DD,Comprehensive Development,,BCS152,185,171,2104,1420.0,GEORGIA ST W,V6G 3K4,"R LAND DISTRICT, TOGETHER WITH AN I","CT LOT 185, GROUP 1, NEW WESTMINSTE","STRATA LOT 171, PLAN BCS152, DISTRI",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,521000.0,159000.0,2021.0,158000.0,498000.0,2002.0,2002.0,,26,2021
202443,003-123-201,LAND,701084730000,70108473,RS-1,One Family Dwelling,546,VAP7315,526,13,,2225.0,22ND AVE W,V6L 1L6,,STRICT LOT 526  NWD GROUP 1.,LOT 13  BLOCK 546  PLAN VAP7315  DI,,,2886000.0,33800.0,2021.0,36500.0,2698000.0,1946.0,1946.0,,4,2021
125087,025-786-776,STRATA,152830080002,15283008,RM-3A,Multiple Family Dwelling,,BCS551,319,2,,888.0,70TH AVE W,V6P 6Z3,ETHER WITH AN INTEREST IN THE COMMO,"9  NWD GROUP 1, & DL 323 & 324, TOG",LOT 2  PLAN BCS551  DISTRICT LOT 31,N PROPERTY IN PROPORTION TO THE UNI,T ENTITLEMENT OF THE STRATA LOT AS,977000.0,358000.0,2021.0,359000.0,893000.0,2003.0,2003.0,,12,2021
103365,015-164-811,LAND,588250230000,58825023,M-2,Industrial,D,VAP729,183,18,,1719.0,FRANKLIN ST,V5L 1P6,,"ICT LOT 183  NWD GROUP 1, OF LOT 3.",LOT 18  BLOCK D  PLAN VAP729  DISTR,,,2878000.0,23100.0,2021.0,22600.0,2813000.0,1911.0,1911.0,,14,2021
51183,010-214-003,LAND,198710750000,19871075,RS-1,One Family Dwelling,12,8189,391,1,,4175.0,BALKAN ST,V5V 3Z3,"/2, OF LOT C, OF BLOCKS 10 TO 13 &",T LOT 391  NEW WESTMINSTER PART N 1,LOT 1  BLOCK 12  PLAN 8189  DISTRIC,"22 TO 25, AND DL 392.",,1791000.0,66800.0,2021.0,68400.0,1509000.0,1950.0,1980.0,,16,2021
188842,023-654-945,STRATA,579178210006,57917821,HA-2,Historic Area,,LMS2650,196,6,305,27.0,ALEXANDER ST,V6A 1B2,HARE IN COM PROP THEREIN.,96  NEW WESTMINSTER UNDIV 88/2464 S,LOT 6  PLAN LMS2650  DISTRICT LOT 1,,,513000.0,253000.0,2021.0,254000.0,523000.0,1997.0,1997.0,,26,2021
101510,030-731-003,STRATA,280616930066,28061693,C-2C1,Commercial,49,EPS5691,,66,PH3,2889.0,1ST AVE E,,TINGS MERIDIAN; TOGETHER WITH AN IN,EPS5691  NWD  BCAGROUP  TOWN OF HAS,LOT 66  BLOCK 49  SECTION 32  PLAN,TEREST IN THE COMMON PROPERTY IN PR,OPORTION TO THE UNIT ENTITLEMENT OF,377000.0,166000.0,2021.0,164000.0,438000.0,,,,21,2021
118699,008-350-442,LAND,722195960000,72219596,RS-1,One Family Dwelling,10,VAP1648,633,36,,396.0,29TH AVE E,V5V 2R6,"THE W 37 FT, LOT 35, BLOCK 10, PLAN",TRICT LOT 633  NEW WESTMINSTER EXC,LOT 36  BLOCK 10  PLAN VAP1648  DIS,"VAP1648, DISTRICT LOT 633, NEW WES","TMINSTER LAND DISTRICT, EXC THE W 3",1859000.0,123000.0,2021.0,114000.0,1570000.0,1910.0,1980.0,,16,2021
35504,026-198-070,STRATA,134608970362,13460897,DD,Comprehensive Development,,BCS1172,541,362,1906,1155.0,SEYMOUR ST,V6B 1K2,,541  NEW WESTMINSTER GROUP 1.,LOT 362  PLAN BCS1172  DISTRICT LOT,,,666000.0,268000.0,2021.0,265000.0,674000.0,2005.0,2005.0,,29,2021
128305,026-194-716,STRATA,134608970026,13460897,DD,Comprehensive Development,,BCS1172,541,26,602,1199.0,SEYMOUR ST,V6B 1K3,,541  NEW WESTMINSTER GROUP 1.,LOT 26  PLAN BCS1172  DISTRICT LOT,,,439000.0,173000.0,2021.0,171000.0,419000.0,2005.0,2005.0,,29,2021
